Country,Date,Total number of Cases
Spain,2020-06-21,246272
Spain,2020-06-22,246504
Spain,2020-06-23,246752
Spain,2020-06-24,247086
Spain,2020-06-25,247486
Spain,2020-06-26,247905
Spain,2020-06-27,248469
Spain,2020-06-28,248770
Spain,2020-06-29,248970
Spain,2020-06-30,249271
Spain,2020-07-01,249659
Spain,2020-07-02,250103
Spain,2020-07-03,250545
Spain,2020-07-04,250545
Spain,2020-07-05,250545
Spain,2020-07-06,251789
Spain,2020-07-07,252130
Spain,2020-07-08,252513
Spain,2020-07-09,253056
Spain,2020-07-10,253908
Spain,2020-07-11,253908
Spain,2020-07-12,253908
Spain,2020-07-13,255953
Spain,2020-07-14,256619
Spain,2020-07-15,257494
Spain,2020-07-16,258855
Spain,2020-07-17,260255
Spain,2020-07-18,260255
Spain,2020-07-19,260255
Spain,2020-07-20,264836
Spain,2020-07-21,266194
Spain,2020-07-22,267551
Spain,2020-07-23,270166
Spain,2020-07-24,272421
Spain,2020-07-25,272421
Spain,2020-07-26,272421
Spain,2020-07-27,278782
Spain,2020-07-28,280610
Spain,2020-07-29,282641
Spain,2020-07-30,285430
Spain,2020-07-31,288522
United Kingdom,2020-01-22,0
United Kingdom,2020-01-23,0
United Kingdom,2020-01-24,0
United Kingdom,2020-01-25,0
United Kingdom,2020-01-26,0
United Kingdom,2020-01-27,0
United Kingdom,2020-01-28,0
United Kingdom,2020-01-29,0
United Kingdom,2020-01-30,0
United Kingdom,2020-01-31,2
United Kingdom,2020-02-01,2
United Kingdom,2020-02-02,2
United Kingdom,2020-02-03,8
United Kingdom,2020-02-04,8
United Kingdom,2020-02-05,9
United Kingdom,2020-02-06,9
United Kingdom,2020-02-07,9
United Kingdom,2020-02-08,13
United Kingdom,2020-02-09,14
United Kingdom,2020-02-10,14
United Kingdom,2020-02-11,15
United Kingdom,2020-02-12,16
United Kingdom,2020-02-13,17
United Kingdom,2020-02-14,18
United Kingdom,2020-02-15,18
United Kingdom,2020-02-16,18
United Kingdom,2020-02-17,19
United Kingdom,2020-02-18,19
United Kingdom,2020-02-19,20
United Kingdom,2020-02-20,22
United Kingdom,2020-02-21,23
United Kingdom,2020-02-22,23
United Kingdom,2020-02-23,28
United Kingdom,2020-02-24,30
United Kingdom,2020-02-25,34
United Kingdom,2020-02-26,37
United Kingdom,2020-02-27,44
United Kingdom,2020-02-28,56
United Kingdom,2020-02-29,61
United Kingdom,2020-03-01,94
United Kingdom,2020-03-02,134
United Kingdom,2020-03-03,189
United Kingdom,2020-03-04,246
United Kingdom,2020-03-05,295
United Kingdom,2020-03-06,374
United Kingdom,2020-03-07,429
United Kingdom,2020-03-08,483
United Kingdom,2020-03-09,630
United Kingdom,2020-03-10,889
United Kingdom,2020-03-11,1301
United Kingdom,2020-03-12,1790
United Kingdom,2020-03-13,2270
United Kingdom,2020-03-14,2634
United Kingdom,2020-03-15,3077
United Kingdom,2020-03-16,3692
United Kingdom,2020-03-17,4462
United Kingdom,2020-03-18,5467
United Kingdom,2020-03-19,6533
United Kingdom,2020-03-20,7791
United Kingdom,2020-03-21,9006
United Kingdom,2020-03-22,10395
United Kingdom,2020-03-23,12744
United Kingdom,2020-03-24,15126
United Kingdom,2020-03-25,17843
United Kingdom,2020-03-26,20970
United Kingdom,2020-03-27,24219
United Kingdom,2020-03-28,27062
United Kingdom,2020-03-29,29954
United Kingdom,2020-03-30,34281
United Kingdom,2020-03-31,38815
United Kingdom,2020-04-01,43789
United Kingdom,2020-04-02,48718
United Kingdom,2020-04-03,53699
United Kingdom,2020-04-04,57772
United Kingdom,2020-04-05,61422
United Kingdom,2020-04-06,66738
United Kingdom,2020-04-07,72224
United Kingdom,2020-04-08,77387
United Kingdom,2020-04-09,82293
United Kingdom,2020-04-10,86660
United Kingdom,2020-04-11,90273
United Kingdom,2020-04-12,93812
United Kingdom,2020-04-13,98017
United Kingdom,2020-04-14,102365
United Kingdom,2020-04-15,107465
United Kingdom,2020-04-16,112808
United Kingdom,2020-04-17,117798
United Kingdom,2020-04-18,122534
United Kingdom,2020-04-19,126394
United Kingdom,2020-04-20,131260
United Kingdom,2020-04-21,136035
United Kingdom,2020-04-22,141540
United Kingdom,2020-04-23,146708
United Kingdom,2020-04-24,151689
United Kingdom,2020-04-25,155453
United Kingdom,2020-04-26,158926
United Kingdom,2020-04-27,163630
United Kingdom,2020-04-28,168357
United Kingdom,2020-04-29,173807
United Kingdom,2020-04-30,178771
United Kingdom,2020-05-01,183501
United Kingdom,2020-05-02,186731
United Kingdom,2020-05-03,189708
United Kingdom,2020-05-04,193091
United Kingdom,2020-05-05,196780
United Kingdom,2020-05-06,200616
United Kingdom,2020-05-07,204387
United Kingdom,2020-05-08,207439
United Kingdom,2020-05-09,209589
United Kingdom,2020-05-10,211911
United Kingdom,2020-05-11,215500
United Kingdom,2020-05-12,218895
United Kingdom,2020-05-13,222195
United Kingdom,2020-05-14,224813
United Kingdom,2020-05-15,227334
United Kingdom,2020-05-16,229406
United Kingdom,2020-05-17,231232
United Kingdom,2020-05-18,233809
United Kingdom,2020-05-19,236867
United Kingdom,2020-05-20,239579
United Kingdom,2020-05-21,242133
United Kingdom,2020-05-22,244174
United Kingdom,2020-05-23,245682
United Kingdom,2020-05-24,247037
United Kingdom,2020-05-25,248650
United Kingdom,2020-05-26,250309
United Kingdom,2020-05-27,252118
United Kingdom,2020-05-28,253854
United Kingdom,2020-05-29,255362
United Kingdom,2020-05-30,256469
United Kingdom,2020-05-31,257539
United Kingdom,2020-06-01,258983
United Kingdom,2020-06-02,260453
United Kingdom,2020-06-03,261802
United Kingdom,2020-06-04,263040
United Kingdom,2020-06-05,264150
United Kingdom,2020-06-06,264944
United Kingdom,2020-06-07,265662
United Kingdom,2020-06-08,266756
United Kingdom,2020-06-09,267915
United Kingdom,2020-06-10,269101
United Kingdom,2020-06-11,270108
United Kingdom,2020-06-12,271162
United Kingdom,2020-06-13,272050
United Kingdom,2020-06-14,272857
United Kingdom,2020-06-15,273888
United Kingdom,2020-06-16,274971
United Kingdom,2020-06-17,275970
United Kingdom,2020-06-18,276990
United Kingdom,2020-06-19,277974
United Kingdom,2020-06-20,278640
United Kingdom,2020-06-21,279264
United Kingdom,2020-06-22,280156
United Kingdom,2020-06-23,281038
United Kingdom,2020-06-24,281815
United Kingdom,2020-06-25,282512
United Kingdom,2020-06-26,283151
United Kingdom,2020-06-27,283785
United Kingdom,2020-06-28,284192
United Kingdom,2020-06-29,284812
United Kingdom,2020-06-30,285216
United Kingdom,2020-07-01,285279
United Kingdom,2020-07-02,285285
United Kingdom,2020-07-03,285787
United Kingdom,2020-07-04,286412
United Kingdom,2020-07-05,286931
United Kingdom,2020-07-06,287290
United Kingdom,2020-07-07,287874
United Kingdom,2020-07-08,288511
United Kingdom,2020-07-09,289154
United Kingdom,2020-07-10,289678
United Kingdom,2020-07-11,290504
United Kingdom,2020-07-12,291154
United Kingdom,2020-07-13,291691
United Kingdom,2020-07-14,292931
United Kingdom,2020-07-15,293469
United Kingdom,2020-07-16,294116
United Kingdom,2020-07-17,294803
United Kingdom,2020-07-18,295632
United Kingdom,2020-07-19,296358
United Kingdom,2020-07-20,296944
United Kingdom,2020-07-21,297389
United Kingdom,2020-07-22,297952
United Kingdom,2020-07-23,298731
United Kingdom,2020-07-24,299500
United Kingdom,2020-07-25,300270
United Kingdom,2020-07-26,301020
United Kingdom,2020-07-27,301708
United Kingdom,2020-07-28,302261
United Kingdom,2020-07-29,303063
United Kingdom,2020-07-30,303910
United Kingdom,2020-07-31,304793
US,2020-01-22,1
US,2020-01-23,1
US,2020-01-24,2
US,2020-01-25,2
US,2020-01-26,5
US,2020-01-27,5
US,2020-01-28,5
US,2020-01-29,5
US,2020-01-30,5
US,2020-01-31,7
US,2020-02-01,8
US,2020-02-02,8
US,2020-02-03,11
US,2020-02-04,11
US,2020-02-05,11
US,2020-02-06,11
US,2020-02-07,11
US,2020-02-08,11
US,2020-02-09,11
US,2020-02-10,11
US,2020-02-11,12
US,2020-02-12,12
US,2020-02-13,13
US,2020-02-14,13
US,2020-02-15,13
US,2020-02-16,13
US,2020-02-17,13
US,2020-02-18,13
US,2020-02-19,13
US,2020-02-20,13
US,2020-02-21,15
US,2020-02-22,15
US,2020-02-23,15
US,2020-02-24,15
US,2020-02-25,15
US,2020-02-26,15
US,2020-02-27,16
US,2020-02-28,16
US,2020-02-29,24
US,2020-03-01,30
US,2020-03-02,53
US,2020-03-03,73
US,2020-03-04,104
US,2020-03-05,174
US,2020-03-06,222
US,2020-03-07,337
US,2020-03-08,451
US,2020-03-09,519
US,2020-03-10,711
US,2020-03-11,1109
US,2020-03-12,1561
US,2020-03-13,2157
US,2020-03-14,2870
US,2020-03-15,2968
US,2020-03-16,4360
US,2020-03-17,6141
US,2020-03-18,8917
US,2020-03-19,14157
US,2020-03-20,19479
US,2020-03-21,25825
US,2020-03-22,33761
US,2020-03-23,43850
US,2020-03-24,54112
US,2020-03-25,66055
US,2020-03-26,84091
US,2020-03-27,102276
US,2020-03-28,122069
US,2020-03-29,141205
US,2020-03-30,162707
US,2020-03-31,188724
US,2020-04-01,214205
US,2020-04-02,244610
US,2020-04-03,276547
US,2020-04-04,309699
US,2020-04-05,337573
US,2020-04-06,367215
US,2020-04-07,397992
US,2020-04-08,429686
US,2020-04-09,464442
US,2020-04-10,497943
US,2020-04-11,527969
US,2020-04-12,556522
US,2020-04-13,581813
US,2020-04-14,608878
US,2020-04-15,637974
US,2020-04-16,669272
US,2020-04-17,701996
US,2020-04-18,730337
US,2020-04-19,756375
US,2020-04-20,783716
US,2020-04-21,809318
US,2020-04-22,837422
US,2020-04-23,871617
US,2020-04-24,907908
US,2020-04-25,940829
US,2020-04-26,968518
US,2020-04-27,990983
US,2020-04-28,1015518
US,2020-04-29,1043038
US,2020-04-30,1072667
US,2020-05-01,1106829
US,2020-05-02,1136024
US,2020-05-03,1161611
US,2020-05-04,1184086
US,2020-05-05,1208271
US,2020-05-06,1233527
US,2020-05-07,1261409
US,2020-05-08,1288587
US,2020-05-09,1314320
US,2020-05-10,1334084
US,2020-05-11,1352962
US,2020-05-12,1375152
US,2020-05-13,1396110
US,2020-05-14,1423727
US,2020-05-15,1449027
US,2020-05-16,1474128
US,2020-05-17,1493132
US,2020-05-18,1514901
US,2020-05-19,1535350
US,2020-05-20,1559157
US,2020-05-21,1584512
US,2020-05-22,1608653
US,2020-05-23,1630476
US,2020-05-24,1651289
US,2020-05-25,1670280
US,2020-05-26,1689163
US,2020-05-27,1707445
US,2020-05-28,1730260
US,2020-05-29,1754764
US,2020-05-30,1779214
US,2020-05-31,1799124
US,2020-06-01,1816479
US,2020-06-02,1837374
US,2020-06-03,1857332
US,2020-06-04,1878683
US,2020-06-05,1903907
US,2020-06-06,1926639
US,2020-06-07,1944370
US,2020-06-08,1961785
US,2020-06-09,1979912
US,2020-06-10,2000706
US,2020-06-11,2023656
US,2020-06-12,2048986
US,2020-06-13,2074542
US,2020-06-14,2094366
US,2020-06-15,2114026
US,2020-06-16,2137731
US,2020-06-17,2163290
US,2020-06-18,2191099
US,2020-06-19,2222579
US,2020-06-20,2255328
US,2020-06-21,2281767
US,2020-06-22,2312303
US,2020-06-23,2347491
US,2020-06-24,2382426
US,2020-06-25,2422299
US,2020-06-26,2467554
US,2020-06-27,2510259
US,2020-06-28,2549864
US,2020-06-29,2590668
US,2020-06-30,2636414
US,2020-07-01,2687588
US,2020-07-02,2742049
US,2020-07-03,2795361
US,2020-07-04,2841241
US,2020-07-05,2891124
US,2020-07-06,2936077
US,2020-07-07,2996098
US,2020-07-08,3054699
US,2020-07-09,3117946
US,2020-07-10,3185737
US,2020-07-11,3245925
US,2020-07-12,3304942
US,2020-07-13,3364157
US,2020-07-14,3431574
US,2020-07-15,3498902
US,2020-07-16,3576157
US,2020-07-17,3647715
US,2020-07-18,3711413
US,2020-07-19,3773260
US,2020-07-20,3834677
US,2020-07-21,3899211
US,2020-07-22,3970121
US,2020-07-23,4038816
US,2020-07-24,4112531
US,2020-07-25,4178970
US,2020-07-26,4233923
US,2020-07-27,4290337
US,2020-07-28,4356206
US,2020-07-29,4426982
US,2020-07-30,4495015
US,2020-07-31,4562038
